seat_id,movie_id,theater_id,seat_number,status,showtime_id
1,1,1,A1,1,1
2,1,1,A2,0,1
3,1,1,A3,0,1
4,1,1,A4,1,1
5,1,1,A5,1,1
6,1,1,A6,1,1
7,1,1,A7,0,1
8,1,1,A8,0,1
9,1,1,A9,0,1
10,1,1,A10,0,1
11,1,1,B1,0,1
12,1,1,B2,1,1
13,1,1,B3,1,1
14,1,1,B4,1,1
15,1,1,B5,1,1
16,1,1,B6,1,1
17,1,1,B7,0,1
18,1,1,B8,1,1
19,1,1,B9,0,1
20,1,1,B10,0,1
21,1,1,C1,0,1
22,1,1,C2,0,1
23,1,1,C3,1,1
24,1,1,C4,1,1
25,1,1,C5,0,1
26,1,1,C6,1,1
27,1,1,C7,1,1
28,1,1,C8,1,1
29,1,1,C9,1,1
30,1,1,C10,0,1
31,1,1,A1,0,2
32,1,1,A2,0,2
33,1,1,A3,1,2
34,1,1,A4,0,2
35,1,1,A5,0,2
36,1,1,A6,1,2
37,1,1,A7,1,2
38,1,1,A8,0,2
39,1,1,A9,0,2
40,1,1,A10,1,2
41,1,1,B1,0,2
42,1,1,B2,1,2
43,1,1,B3,0,2
44,1,1,B4,1,2
45,1,1,B5,1,2
46,1,1,B6,0,2
47,1,1,B7,1,2
48,1,1,B8,1,2
49,1,1,B9,1,2
50,1,1,B10,1,2
51,1,1,C1,1,2
52,1,1,C2,1,2
53,1,1,C3,1,2
54,1,1,C4,0,2
55,1,1,C5,0,2
56,1,1,C6,0,2
57,1,1,C7,1,2
58,1,1,C8,1,2
59,1,1,C9,1,2
60,1,1,C10,0,2
61,1,1,A1,1,3
62,1,1,A2,0,3
63,1,1,A3,0,3
64,1,1,A4,1,3
65,1,1,A5,1,3
66,1,1,A6,0,3
67,1,1,A7,0,3
68,1,1,A8,0,3
69,1,1,A9,1,3
70,1,1,A10,1,3
71,1,1,B1,1,3
72,1,1,B2,0,3
73,1,1,B3,1,3
74,1,1,B4,0,3
75,1,1,B5,0,3
76,1,1,B6,1,3
77,1,1,B7,0,3
78,1,1,B8,1,3
79,1,1,B9,0,3
80,1,1,B10,1,3
81,1,1,C1,1,3
82,1,1,C2,0,3
83,1,1,C3,0,3
84,1,1,C4,1,3
85,1,1,C5,0,3
86,1,1,C6,0,3
87,1,1,C7,1,3
88,1,1,C8,0,3
89,1,1,C9,0,3
90,1,1,C10,1,3
91,1,1,A1,1,4
92,1,1,A2,1,4
93,1,1,A3,1,4
94,1,1,A4,1,4
95,1,1,A5,1,4
96,1,1,A6,1,4
97,1,1,A7,0,4
98,1,1,A8,1,4
99,1,1,A9,1,4
100,1,1,A10,0,4
101,1,1,B1,0,4
102,1,1,B2,1,4
103,1,1,B3,1,4
104,1,1,B4,0,4
105,1,1,B5,1,4
106,1,1,B6,1,4
107,1,1,B7,0,4
108,1,1,B8,1,4
109,1,1,B9,1,4
110,1,1,B10,0,4
111,1,1,C1,1,4
112,1,1,C2,1,4
113,1,1,C3,1,4
114,1,1,C4,1,4
115,1,1,C5,1,4
116,1,1,C6,0,4
117,1,1,C7,0,4
118,1,1,C8,0,4
119,1,1,C9,1,4
120,1,1,C10,0,4
121,1,1,A1,1,5
122,1,1,A2,1,5
123,1,1,A3,0,5
124,1,1,A4,0,5
125,1,1,A5,1,5
126,1,1,A6,0,5
127,1,1,A7,0,5
128,1,1,A8,1,5
129,1,1,A9,0,5
130,1,1,A10,0,5
131,1,1,B1,1,5
132,1,1,B2,1,5
133,1,1,B3,1,5
134,1,1,B4,1,5
135,1,1,B5,0,5
136,1,1,B6,0,5
137,1,1,B7,0,5
138,1,1,B8,1,5
139,1,1,B9,0,5
140,1,1,B10,0,5
141,1,1,C1,0,5
142,1,1,C2,1,5
143,1,1,C3,1,5
144,1,1,C4,0,5
145,1,1,C5,0,5
146,1,1,C6,1,5
